smiles,logp,mw,tpsa,hbd,hba,rotbonds,qed,sas
C=C1C(=O)O[C@H]2[C@H]1CC/C(C(F)(F)F)=C\CC[C@@]1(C)O[C@@H]21,3.304400000000002,302.292,38.83,0,3,0,0.2981607846905893,4.94260313460221
C=C1C(=O)O[C@@H]2/C=C(\C)CC/C=C(/C(F)(F)F)CC[C@@H]12,4.093200000000003,286.293,26.3,0,2,0,0.3806490202276897,4.476414962589303
C=C1C(=O)[C@]23[C@H](O)[C@H]1CC[C@H]2[C@@]12CO[C@@]3(O)[C@@H](O)[C@@H]1C(C)(C)Cc1sc(NC)nc12,1.2267999999999992,432.54200000000014,111.91000000000001,4,8,1,0.49395142756955485,7.129083828515516
C=C1C(=O)[C@]23[C@H](O)[C@H]1CC[C@H]2[C@]12C=CCC(C)(C)[C@H]1[C@H](O)[C@]3(O)OC2,1.1807999999999998,346.42300000000006,86.99000000000001,3,5,0,0.4528865910251602,7.099790978979683
C=C1[C@@H]2CC[C@H]3C45COC(=O)[C@@]4(O)CC(C)(C)[C@H]5[C@H](O)C(=O)[C@]3(C2)[C@@H]1OC(C)=O,1.1545999999999998,404.4590000000002,110.13000000000002,2,7,1,0.4983101319465748,6.7386607464774615
C=C1C(=O)[C@@]23C(=O)[C@@H](O)[C@@H]4C(C)(C)C[C@@H]5C(=O)OCC54[C@@H]2CC[C@@H]1[C@H]3OC(=O)c1ccc[nH]1,1.8406999999999993,453.4910000000002,122.75999999999999,2,7,2,0.39792627001072545,6.663115314986648
C=C1C(=O)[C@@]23C(=O)[C@@H](O)[C@@H]4C(C)(C)C[C@@H]5C(=O)OCC54[C@@H]2CC[C@@H]1[C@H]3OC(=O)c1ccc(Br)cc1,3.275100000000001,543.4100000000003,106.97,1,7,2,0.34680389543962914,6.373634665852074
C=C1C(=O)[C@@]23C(=O)[C@@H](O)[C@@H]4C(C)(C)C[C@@H]5C(=O)OCC54[C@@H]2CC[C@@H]1[C@H]3OC(=O)c1ccnc(F)c1,2.0466999999999995,483.49200000000025,119.86,1,8,2,0.29379885012631635,6.561231300467458
C=C1C(=O)[C@@]23C(=O)[C@@H](O)[C@@H]4C(C)(C)C[C@@H]5C(=O)OCC54[C@@H]2CC[C@@H]1[C@H]3OC(=O)C1Cc2ccccc2C1,2.6138000000000003,504.57900000000035,106.97,1,7,2,0.37485470571166984,6.516081503993123
CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)C2(C)C,1.0971800000000007,499.5340000000003,131.4,3,5,6,0.5037264667056947,4.576292619865924
N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12CC3CC(CC(O)(C3)C1)C2,1.157979999999999,315.4170000000001,90.35000000000001,2,4,2,0.7998067802808753,5.66471327816889
OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(OCCOC4CC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,2.0034999999999994,464.9420000000002,108.61000000000001,4,7,9,0.42019865340951457,3.669508089080982
O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1c(Cl)cccc1Cl,3.989200000000002,350.20500000000004,71.09,2,3,4,0.8759291831598487,2.038277753743065
C=C1CC[C@H]2O[C@]2(C)CC[C@@H]2[C@@H]1CC2(C)C,3.9364000000000035,220.35599999999997,12.53,0,1,0,0.4448354245678497,4.59041001380987
CC1=CC[C@@]23[C@@H]([C@@H]12)[C@H](C(C)C)CC[C@H]3C,4.270900000000004,204.35699999999994,0.0,0,0,1,0.5594891083866828,4.948441110517138
C=C1CC[C@@]23[C@@H]([C@@H]12)[C@H](C(C)C)CC[C@H]3C,4.270900000000004,204.35699999999994,0.0,0,0,1,0.5594891083866828,4.985008465113761
C[C@@H]1CC[C@@H]2[C@@H]1[C@H]1[C@@H](CC[C@@]2(C)O)C1(C)C,3.4657000000000027,222.37199999999996,20.23,1,1,0,0.6651960715226423,4.217665618409217
CC(C)[C@@H]1CC[C@@]2(C)[C@@H]3C[C@H]4[C@@H]([C@@H]31)[C@]42C,3.9607000000000037,204.357,0.0,0,0,1,0.6062377783264216,5.833719542688674
C=C1CC[C@@H]2[C@H]([C@@H]3[C@H](C)CC[C@H]13)C2(C)C,4.270900000000004,204.35699999999994,0.0,0,0,0,0.5168607465220088,4.223063743162508
CC1=C2CC[C@@H](C)[C@H]2[C@H]2[C@@H](CC1)C2(C)C,4.415000000000004,204.35699999999994,0.0,0,0,0,0.5125130456348207,4.14816850942302
CC1(C)O[C@H]2CC(=O)OC[C@]23[C@H]2CC[C@@]4(C)[C@H](c5ccoc5)OC(=O)[C@H]5O[C@]54[C@]2(C)C(=O)C[C@@H]13,3.1374000000000013,470.51800000000026,104.57,0,8,1,0.455458119350151,6.074316432966031
C=C1CC[C@H]2[C@@H]1[C@H]1[C@@H](CC[C@H]2C)C1(C)C,4.270900000000004,204.35699999999994,0.0,0,0,0,0.5168607465220088,4.232924906389525
